"info_seq","category","title","start_date","end_date","place","price","content","homepage","thumbnail","tel","tag"
"60","museum","둘리뮤지엄","","","둘리뮤지엄","5000원","","doolymuseum.or.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Kim_Soojung_Dooly_Museum_01.jpg/435px-Kim_Soojung_Dooly_Museum_01.jpg","02-990-2200","교육, 캐릭터"
"59","museum","서대문자연사박물관","","","서대문자연사박물관","성인 6000원, 청소년 3000원, 어린이 2000원","","http://namu.sdm.go.kr","https://zrr.kr/fY2N","02-330-8899","교육, 자연"
"58","museum","서대문형무소역사관","","","서대문형무소역사관","성인 3000원, 청소년 1500원, 어린이 1000원","","www.sscmc.or.kr","https://zrr.kr/7af9","02-360-8590","교육, 역사"
"57","museum","서울교육박물관","","","서울교육박물관","","","http://edumuseum.sen.go.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Seoul_Education_Museum.jpg/435px-Seoul_Education_Museum.jpg","02-2011-5780","교육"
"56","museum","서울상상나라","","","서울상상나라","4000원","","www.seoulchildrensmuseum.org","https://culture.seoul.go.kr/cmmn/file/imageSrc.do?fileStreCours=981b376f1c18e5dca2052d06d46e772845b9a925053b49af8e542a0ff4cad83d&streFileNm=51137a06dda21298bfc04e0ec829b8c43f48942c620f71cc3fc0c508cc687eff","02-6450-9500","교육, 미술"
"45","museum","서울약령시한의약박물관","","","서울약령시한의약박물관","유료","","http://kmedi.ddm.go.kr(서울특별시한방진흥센터)","https://zrr.kr/h5MA","02-969-9241","교육, 한의약"
"44","museum","서울역사박물관","","","서울역사박물관","","","www.museum.seoul.kr","https://zrr.kr/02SF","02-724-0274","교육, 역사"
"43","museum","은평역사한옥박물관","","","은평역사한옥박물관","성인 1000원, 청소년 500원, 어린이 500원","","museum.ep.go.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Eunpyeong_History_Hanok_Museum_20220725_003.jpg/435px-Eunpyeong_History_Hanok_Museum_20220725_003.jpg","02-351-8524","교육, 역사"
"42","museum","청계천박물관","","","청계천박물관","","","www.cgcm.museum.seoul.k　","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/KOCIS_Cheonggyecheon_%28stream%29_in_Seoul_%287085875007%29.jpg/435px-KOCIS_Cheonggyecheon_%28stream%29_in_Seoul_%287085875007%29.jpg","02-2286-3410","교육"
"41","museum","한성백제박물관","","","한성백제박물관","","","baekjemuseum.seoul.go.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Seoul_Baekje_Museum_front_side2.jpg/435px-Seoul_Baekje_Museum_front_side2.jpg","02-2152-5800","교육, 역사"
"30","museum","허준박물관","","","허준박물관","성인 1000원, 청소년 500원, 어린이 500원","","www.heojunmuseum.go.kr","https://upload.wikimedia.org/wikipedia/ko/thumb/7/7b/%ED%97%88%EC%A4%80.JPG/330px-%ED%97%88%EC%A4%80.JPG","02-3661-8686","교육, 인물, 역사"
"29","museum","가회민화박물관","","","가회민화박물관","성인 2000원, 청소년 1000원, 어린이 1000원","","http://www.gahoemuseum.org/new/","https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/%EA%B0%80%ED%9A%8C%EB%AF%BC%ED%99%94%EB%B0%95%EB%AC%BC%EA%B4%80.jpg/435px-%EA%B0%80%ED%9A%8C%EB%AF%BC%ED%99%94%EB%B0%95%EB%AC%BC%EA%B4%80.jpg","02-741-0466","교육, 미술"
"28","museum","떡박물관","","","떡박물관","성인 3000원, 청소년 2000원, 어린이 2000원","","www.tkmuseum.or.kr","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Tteok_Museum.jpg/435px-Tteok_Museum.jpg","02-741-5447","교육, 음식"
"27","museum","백범김구기념관","","","백범김구기념관","","","www.kimkoomuseum.org","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Kim_Koo_Museum.jpg/435px-Kim_Koo_Museum.jpg","02-799-3400","교육, 인물, 역사"
